question,answer
1,4
2,3
3,1
4,4
5,2
6,3
7,3
8,3
9,4
10,3
11,1
12,1
13,2
14,2
15,3
16,1
17,1
18,4
19,1
20,2
21,4
22,1
23,2
24,1
25,4
26,3
27,4
28,3
29,3
30,2
31,1
32,4
33,2
34,3
35,3
36,2
37,3
38,1
39,2
40,4
41,2
42,1
43,1
44,3
45,1
46,4
47,2
48,2
49,4
50,3
51,4
52,2
53,4
54,3
55,3
56,3
57,2
58,4
59,4
60,2
61,2
62,4
63,1
64,2
65,4
66,4
67,3
68,1
69,2
70,2
71,3
72,2
73,1
74,2
75,4
76,4
77,4
78,2
79,1
80,3
81,2
82,3
83,2
84,1
85,1
86,4
87,1
88,3
89,4
90,4
91,1
92,4
93,3
94,4
95,4
96,3
97,4
98,2
99,1
100,2
101,1
102,4
103,2
104,1
105,3
106,3
107,2
108,2
109,1
110,4
111,4
112,4
113,1
114,3
115,1
116,1
117,4
118,4
119,4
120,4
121,4
122,2
123,3
124,1
125,3
126,1
127,3
128,2
129,3
130,2
131,1
132,1
133,2
134,1
135,1
136,1
137,3
138,1
139,3
140,4
141,4
142,2
143,4
144,4
145,1
146,3
147,1
148,2
149,4
150,4
